ts=10585; X_raw=202; Y_raw=-165; Z_raw=-175; X_acc_der=202.00; Y_acc_der=-165.00; Z_acc_der=-175.00; X_gyr_der=-118.60; Y_gyr_der=-5.77; Z_gyr_der=34.75;
ts=10689; X_raw=609; Y_raw=-552; Z_raw=-56; X_acc_der=609.00; Y_acc_der=-552.00; Z_acc_der=-56.00; X_gyr_der=-117.74; Y_gyr_der=-5.92; Z_gyr_der=34.02;
ts=10793; X_raw=212; Y_raw=-951; Z_raw=-303; X_acc_der=212.00; Y_acc_der=-951.00; Z_acc_der=-303.00; X_gyr_der=-118.20; Y_gyr_der=-6.90; Z_gyr_der=33.95;
ts=10897; X_raw=-9; Y_raw=-646; Z_raw=-271; X_acc_der=-9.00; Y_acc_der=-646.00; Z_acc_der=-271.00; X_gyr_der=-118.93; Y_gyr_der=-6.50; Z_gyr_der=33.68;
ts=11001; X_raw=-108; Y_raw=-677; Z_raw=-422; X_acc_der=-108.00; Y_acc_der=-677.00; Z_acc_der=-422.00; X_gyr_der=-119.57; Y_gyr_der=-5.28; Z_gyr_der=32.61;
ts=11107; X_raw=484; Y_raw=-570; Z_raw=73; X_acc_der=484.00; Y_acc_der=-570.00; Z_acc_der=73.00; X_gyr_der=-117.22; Y_gyr_der=-7.54; Z_gyr_der=32.18;
ts=11211; X_raw=267; Y_raw=-418; Z_raw=-222; X_acc_der=267.00; Y_acc_der=-418.00; Z_acc_der=-222.00; X_gyr_der=-117.77; Y_gyr_der=-7.69; Z_gyr_der=32.21;
ts=11315; X_raw=-462; Y_raw=142; Z_raw=-191; X_acc_der=-462.00; Y_acc_der=142.00; Z_acc_der=-191.00; X_gyr_der=-118.14; Y_gyr_der=-5.22; Z_gyr_der=33.07;
ts=11419; X_raw=409; Y_raw=-444; Z_raw=243; X_acc_der=409.00; Y_acc_der=-444.00; Z_acc_der=243.00; X_gyr_der=-118.05; Y_gyr_der=-7.85; Z_gyr_der=34.75;
ts=11523; X_raw=512; Y_raw=-275; Z_raw=-470; X_acc_der=512.00; Y_acc_der=-275.00; Z_acc_der=-470.00; X_gyr_der=-117.25; Y_gyr_der=-7.02; Z_gyr_der=34.05;
ts=11627; X_raw=-325; Y_raw=-399; Z_raw=108; X_acc_der=-325.00; Y_acc_der=-399.00; Z_acc_der=108.00; X_gyr_der=-116.73; Y_gyr_der=-5.44; Z_gyr_der=34.50;
ts=11731; X_raw=-52; Y_raw=-262; Z_raw=-25; X_acc_der=-52.00; Y_acc_der=-262.00; Z_acc_der=-25.00; X_gyr_der=-118.32; Y_gyr_der=-6.87; Z_gyr_der=33.95;
ts=11835; X_raw=456; Y_raw=-207; Z_raw=-311; X_acc_der=456.00; Y_acc_der=-207.00; Z_acc_der=-311.00; X_gyr_der=-117.25; Y_gyr_der=-5.92; Z_gyr_der=34.05;
ts=11939; X_raw=-165; Y_raw=-547; Z_raw=176; X_acc_der=-165.00; Y_acc_der=-547.00; Z_acc_der=176.00; X_gyr_der=-117.31; Y_gyr_der=-7.02; Z_gyr_der=32.70;
ts=12043; X_raw=143; Y_raw=-371; Z_raw=-218; X_acc_der=143.00; Y_acc_der=-371.00; Z_acc_der=-218.00; X_gyr_der=-117.65; Y_gyr_der=-6.81; Z_gyr_der=32.89;
ts=12147; X_raw=104; Y_raw=-439; Z_raw=-94; X_acc_der=104.00; Y_acc_der=-439.00; Z_acc_der=-94.00; X_gyr_der=-116.67; Y_gyr_der=-4.43; Z_gyr_der=33.92;
ts=12251; X_raw=-50; Y_raw=-350; Z_raw=10; X_acc_der=-50.00; Y_acc_der=-350.00; Z_acc_der=10.00; X_gyr_der=-117.50; Y_gyr_der=-7.82; Z_gyr_der=32.79;
ts=12355; X_raw=80; Y_raw=-264; Z_raw=-345; X_acc_der=80.00; Y_acc_der=-264.00; Z_acc_der=-345.00; X_gyr_der=-117.37; Y_gyr_der=-5.68; Z_gyr_der=34.08;
ts=12459; X_raw=18; Y_raw=-444; Z_raw=102; X_acc_der=18.00; Y_acc_der=-444.00; Z_acc_der=102.00; X_gyr_der=-116.61; Y_gyr_der=-5.25; Z_gyr_der=34.56;
ts=12563; X_raw=271; Y_raw=-412; Z_raw=-204; X_acc_der=271.00; Y_acc_der=-412.00; Z_acc_der=-204.00; X_gyr_der=-117.89; Y_gyr_der=-7.27; Z_gyr_der=33.53;
ts=12667; X_raw=97; Y_raw=-322; Z_raw=-134; X_acc_der=97.00; Y_acc_der=-322.00; Z_acc_der=-134.00; X_gyr_der=-117.80; Y_gyr_der=-5.34; Z_gyr_der=32.82;
ts=12771; X_raw=-23; Y_raw=-333; Z_raw=-10; X_acc_der=-23.00; Y_acc_der=-333.00; Z_acc_der=-10.00; X_gyr_der=-118.32; Y_gyr_der=-6.50; Z_gyr_der=33.77;
ts=12875; X_raw=206; Y_raw=-303; Z_raw=-216; X_acc_der=206.00; Y_acc_der=-303.00; Z_acc_der=-216.00; X_gyr_der=-116.34; Y_gyr_der=-6.32; Z_gyr_der=33.71;
ts=12979; X_raw=154; Y_raw=-451; Z_raw=-3; X_acc_der=154.00; Y_acc_der=-451.00; Z_acc_der=-3.00; X_gyr_der=-118.17; Y_gyr_der=-7.21; Z_gyr_der=33.74;
ts=13083; X_raw=-97; Y_raw=-316; Z_raw=-206; X_acc_der=-97.00; Y_acc_der=-316.00; Z_acc_der=-206.00; X_gyr_der=-117.07; Y_gyr_der=-6.63; Z_gyr_der=34.38;
ts=13187; X_raw=137; Y_raw=-406; Z_raw=32; X_acc_der=137.00; Y_acc_der=-406.00; Z_acc_der=32.00; X_gyr_der=-118.38; Y_gyr_der=-6.26; Z_gyr_der=34.78;
ts=13291; X_raw=289; Y_raw=-382; Z_raw=-141; X_acc_der=289.00; Y_acc_der=-382.00; Z_acc_der=-141.00; X_gyr_der=-117.68; Y_gyr_der=-7.27; Z_gyr_der=33.16;
ts=13395; X_raw=-78; Y_raw=-329; Z_raw=-136; X_acc_der=-78.00; Y_acc_der=-329.00; Z_acc_der=-136.00; X_gyr_der=-117.40; Y_gyr_der=-5.34; Z_gyr_der=33.01;
ts=13499; X_raw=148; Y_raw=-344; Z_raw=32; X_acc_der=148.00; Y_acc_der=-344.00; Z_acc_der=32.00; X_gyr_der=-119.18; Y_gyr_der=-6.87; Z_gyr_der=33.83;
ts=13603; X_raw=370; Y_raw=-237; Z_raw=-188; X_acc_der=370.00; Y_acc_der=-237.00; Z_acc_der=-188.00; X_gyr_der=-119.73; Y_gyr_der=-6.17; Z_gyr_der=34.26;
ts=13707; X_raw=-36; Y_raw=-451; Z_raw=-21; X_acc_der=-36.00; Y_acc_der=-451.00; Z_acc_der=-21.00; X_gyr_der=-117.56; Y_gyr_der=-6.29; Z_gyr_der=32.64;
ts=13811; X_raw=-53; Y_raw=-408; Z_raw=-167; X_acc_der=-53.00; Y_acc_der=-408.00; Z_acc_der=-167.00; X_gyr_der=-118.26; Y_gyr_der=-6.93; Z_gyr_der=33.71;
ts=13915; X_raw=184; Y_raw=-408; Z_raw=-88; X_acc_der=184.00; Y_acc_der=-408.00; Z_acc_der=-88.00; X_gyr_der=-117.25; Y_gyr_der=-5.80; Z_gyr_der=33.77;
